context_id,lga,region_group,target_period,target_value_raw,completion_or_progress_raw,source_url,notes,last_reviewed_at
HTC_20260406_MOSMAN,Mosman,Greater Sydney,5-year target to 2029,500 new completed homes by 2029,,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/mosman-councils-snapshot,"Resident population 29,071; number of homes 13,280; average household size 2.2; urban tree canopy 34.9%; high heat vulnerability approx 0% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_NORTH_SYDNEY,North Sydney,Greater Sydney,5-year target to 2029,"5,900 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/north-sydney-councils-snapshot,"Resident population 72,014; number of homes 38,820; average household size 1.9; urban tree canopy 29.3%; high heat vulnerability approx 1% of neighbourhoods; moderate heat vulnerability approx 24% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_PARRAMATTA,Parramatta,Greater Sydney,5-year target to 2029,"19,500 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/parramatta-councils-snapshot,"Resident population 269,145; number of homes 108,290; average household size 2.5; urban tree canopy 25.2%; high heat vulnerability approx 3% of neighbourhoods; moderate heat vulnerability approx 75% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_PENRITH,Penrith,Greater Sydney,5-year target to 2029,"8,400 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/penrith-councils-snapshot,"Resident population 224,483; number of homes 81,620; average household size 2.8; urban tree canopy 16.5%; high heat vulnerability approx 49% of neighbourhoods; moderate heat vulnerability approx 45% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_RANDWICK,Randwick,Greater Sydney,5-year target to 2029,"4,000 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/randwick-councils-snapshot,"Resident population 141,840; number of homes 59,420; average household size 2.4; urban tree canopy 16.1%; high heat vulnerability approx 3% of neighbourhoods; moderate heat vulnerability approx 78% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_RYDE,Ryde,Greater Sydney,5-year target to 2029,"11,600 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/ryde-councils-snapshot,"Resident population 135,716; number of homes 56,000; average household size 2.4; urban tree canopy 27%; high heat vulnerability approx 1% of neighbourhoods; moderate heat vulnerability approx 63% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_STRATHFIELD,Strathfield,Greater Sydney,5-year target to 2029,"3,500 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/strathfield-councils-snapshot,"Resident population 47,824; number of homes 18,410; average household size 2.6; urban tree canopy 16.7%; high heat vulnerability approx 2% of neighbourhoods; moderate heat vulnerability approx 81% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_SUTHERLAND_SHIRE,Sutherland Shire,Greater Sydney,5-year target to 2029,"6,000 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/sutherland-councils-snapshot,"Resident population 235,029; number of homes 91,110; average household size 2.6; urban tree canopy 28.6%; high heat vulnerability approx 1% of neighbourhoods; moderate heat vulnerability approx 54% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_SYDNEY,Sydney,Greater Sydney,5-year target to 2029,"18,900 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/sydney-councils-snapshot,"Resident population 231,086; number of homes 123,380; average household size 1.9; urban tree canopy 19.9%; high heat vulnerability approx 3% of neighbourhoods; moderate heat vulnerability approx 63% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_THE_HILLS_SHIRE,The Hills Shire,Greater Sydney,5-year target to 2029,"23,300 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/the-hills-councils-snapshot,"Resident population 207,959; number of homes 66,450; average household size 3.1; urban tree canopy 29.1%; high heat vulnerability approx 0% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_WAVERLEY,Waverley,Greater Sydney,5-year target to 2029,"2,400 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/waverley-councils-snapshot,"Resident population 71,414; number of homes 32,710; average household size 2.2; urban tree canopy 17.3%; high heat vulnerability approx 0% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_WILLOUGHBY,Willoughby,Greater Sydney,5-year target to 2029,"3,400 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/willoughby-councils-snapshot,"Resident population 77,874; number of homes 31,900; average household size 2.4; urban tree canopy 33.9%; high heat vulnerability approx 0% of neighbourhoods; moderate heat vulnerability approx 33% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_WOOLLAHRA,Woollahra,Greater Sydney,5-year target to 2029,"1,900 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/woollahra-councils-snapshot,"Resident population 54,660; number of homes 26,410; average household size 2.1; urban tree canopy 29.5%; high heat vulnerability approx 0% of neighbourhoods; updated 2025-08-04",2026-04-06
